
 ===================new run===================== 
Planetary albedo for an optical thickness of 2.100 and an cos(SZA) of 0.50: 0.310993 
rdir 0.239544, sdir 0.227865, and tdir 0.532592 
sum: 1.000000 
solar irradiance: 234.434686 
layer,player,Tlayer,theta,time
5,275.000000,205.490418,297.154447,970.053650
6,325.000000,215.452832,297.039431,970.053650
7,375.000000,224.160887,296.664233,970.053650
8,425.000000,232.028462,296.289221,970.053650
9,475.000000,239.193189,295.884397,970.053650
10,525.000000,245.801700,295.487672,970.053650
11,575.000000,251.914129,295.065787,970.053650
12,625.000000,257.612242,294.636463,970.053650
13,675.000000,262.954923,294.206088,970.053650
14,725.000000,268.009880,293.801650,970.053650
15,775.000000,272.820053,293.429906,970.053650
16,825.000000,277.419230,293.093955,970.053650
17,875.000000,281.797123,292.755917,970.053650
18,925.000000,285.990622,292.432464,970.053650
19,975.000000,289.981761,292.086995,970.053650
0,25.000000,190.086074,545.358048,1035.826416
1,75.000000,201.928993,423.262456,1035.826416
2,125.000000,204.039527,369.606857,1035.826416
3,175.000000,201.675599,331.839591,1035.826416
4,225.000000,200.375257,306.856128,1035.826416
5,275.000000,205.275880,296.844209,1035.826416
6,325.000000,215.221741,296.720831,1035.826416
7,375.000000,223.920482,296.346070,1035.826416
8,425.000000,231.778637,295.970207,1035.826416
9,475.000000,238.933373,295.563001,1035.826416
10,525.000000,245.531630,295.163011,1035.826416
11,575.000000,251.634827,294.738642,1035.826416
12,625.000000,257.325347,294.308336,1035.826416
13,675.000000,262.662016,293.878371,1035.826416
14,725.000000,267.711941,293.475040,1035.826416
15,775.000000,272.517782,293.104800,1035.826416
16,825.000000,277.113359,292.770802,1035.826416
17,875.000000,281.488997,292.435809,1035.826416
18,925.000000,285.681414,292.116291,1035.826416
19,975.000000,289.672754,291.775745,1035.826416
0,25.000000,189.266179,543.005766,1100.798340
1,75.000000,201.103665,421.532489,1100.798340
2,125.000000,203.213779,368.111057,1100.798340
3,175.000000,200.891851,330.550001,1100.798340
4,225.000000,199.784818,305.951926,1100.798340
5,275.000000,205.068629,296.544509,1100.798340
6,325.000000,214.993989,296.406835,1100.798340
7,375.000000,223.680345,296.028263,1100.798340
8,425.000000,231.529795,295.652448,1100.798340
9,475.000000,238.676681,295.245471,1100.798340
10,525.000000,245.269618,294.848037,1100.798340
11,575.000000,251.370437,294.428964,1100.798340
12,625.000000,257.059157,294.003888,1100.798340
13,675.000000,262.394746,293.579337,1100.798340
14,725.000000,267.444030,293.181346,1100.798340
15,775.000000,272.247855,292.814482,1100.798340
16,825.000000,276.840019,292.482018,1100.798340
17,875.000000,281.211259,292.147270,1100.798340
18,925.000000,285.396773,291.825239,1100.798340
19,975.000000,289.380408,291.481277,1100.798340
0,25.000000,188.497790,540.801253,1165.455200
1,75.000000,200.317274,419.884139,1165.455200
2,125.000000,202.423889,366.680213,1165.455200
3,175.000000,200.153458,329.335040,1165.455200
4,225.000000,199.240872,305.118923,1165.455200
5,275.000000,204.875208,296.264808,1165.455200
6,325.000000,214.786487,296.120757,1165.455200
7,375.000000,223.466048,295.744653,1165.455200
8,425.000000,231.310250,295.372100,1165.455200
9,475.000000,238.452728,294.968439,1165.455200
10,525.000000,245.041160,294.573398,1165.455200
11,575.000000,251.137086,294.155641,1165.455200
12,625.000000,256.820153,293.730534,1165.455200
13,675.000000,262.149134,293.304536,1165.455200
14,725.000000,267.191366,292.904367,1165.455200
15,775.000000,271.988611,292.535654,1165.455200
16,825.000000,276.574389,292.201379,1165.455200
17,875.000000,280.940476,291.865956,1165.455200
18,925.000000,285.122172,291.544452,1165.455200
19,975.000000,289.103503,291.202361,1165.455200
0,25.000000,187.775780,538.729801,1229.812988
1,75.000000,199.567902,418.313382,1229.812988
2,125.000000,201.668932,365.312649,1229.812988
3,175.000000,199.457095,328.189236,1229.812988
4,225.000000,198.737212,304.347614,1229.812988
5,275.000000,204.704611,296.018111,1229.812988
6,325.000000,214.601445,295.865645,1229.812988
7,375.000000,223.271917,295.487731,1229.812988
8,425.000000,231.107544,295.113253,1229.812988
9,475.000000,238.241956,294.707712,1229.812988
10,525.000000,244.822890,294.311008,1229.812988
11,575.000000,250.912255,293.892297,1229.812988
12,625.000000,256.589877,293.467163,1229.812988
13,675.000000,261.914682,293.042220,1229.812988
14,725.000000,266.953833,292.643975,1229.812988
15,775.000000,271.748969,292.277908,1229.812988
16,825.000000,276.333320,291.946689,1229.812988
17,875.000000,280.698542,291.614614,1229.812988
18,925.000000,284.879336,291.296146,1229.812988
19,975.000000,288.859648,290.956736,1229.812988
0,25.000000,187.095697,536.778639,1293.904663
1,75.000000,198.853579,416.816094,1293.904663
2,125.000000,200.947663,364.006108,1293.904663
3,175.000000,198.799671,327.107502,1293.904663
4,225.000000,198.269350,303.631127,1293.904663
5,275.000000,204.541963,295.782911,1293.904663
6,325.000000,214.424330,295.621461,1293.904663
7,375.000000,223.086420,295.242236,1293.904663
8,425.000000,230.915400,294.867894,1293.904663
9,475.000000,238.044696,294.463699,1293.904663
10,525.000000,244.621655,294.069095,1293.904663
11,575.000000,250.708088,293.653158,1293.904663
12,625.000000,256.383417,293.231030,1293.904663
13,675.000000,261.706172,292.808928,1293.904663
14,725.000000,266.743016,292.412871,1293.904663
15,775.000000,271.535294,292.048091,1293.904663
16,825.000000,276.116065,291.717160,1293.904663
17,875.000000,280.477275,291.384742,1293.904663
18,925.000000,284.653659,291.065386,1293.904663
19,975.000000,288.629751,290.725170,1293.904663
0,25.000000,186.453816,534.937079,1357.755249
1,75.000000,198.172506,415.388501,1357.755249
2,125.000000,200.258799,362.758266,1357.755249
3,175.000000,198.178412,326.085275,1357.755249
4,225.000000,197.833723,302.964004,1357.755249
5,275.000000,204.392257,295.566425,1357.755249
6,325.000000,214.263241,295.399371,1357.755249
7,375.000000,222.919290,295.021049,1357.755249
8,425.000000,230.743241,294.648056,1357.755249
9,475.000000,237.868044,294.245179,1357.755249
10,525.000000,244.440567,293.851402,1357.755249
11,575.000000,250.522578,293.435870,1357.755249
12,625.000000,256.193397,293.013700,1357.755249
13,675.000000,261.511620,292.591255,1357.755249
14,725.000000,266.543966,292.194665,1357.755249
15,775.000000,271.331976,291.829413,1357.755249
16,825.000000,275.908874,291.498262,1357.755249
17,875.000000,280.266983,291.166272,1357.755249
18,925.000000,284.440931,290.847867,1357.755249
19,975.000000,288.415464,290.509327,1357.755249
0,25.000000,185.856365,533.222989,1421.098389
1,75.000000,197.527694,414.036911,1421.098389
2,125.000000,199.607655,361.578753,1421.098389
3,175.000000,197.590259,325.117520,1421.098389
4,225.000000,197.422621,302.334440,1421.098389
5,275.000000,204.252308,295.364048,1421.098389
6,325.000000,214.111032,295.189525,1421.098389
7,375.000000,222.758930,294.808822,1421.098389
8,425.000000,230.576613,294.435280,1421.098389
9,475.000000,237.695124,294.031275,1421.098389
10,525.000000,244.262674,293.637549,1421.098389
11,575.000000,250.341495,293.223769,1421.098389
12,625.000000,256.008578,292.802319,1421.098389
13,675.000000,261.325317,292.382810,1421.098389
14,725.000000,266.356327,291.988968,1421.098389
15,775.000000,271.142400,291.625516,1421.098389
16,825.000000,275.717121,291.295675,1421.098389
17,875.000000,280.073301,290.965058,1421.098389
18,925.000000,284.244366,290.646873,1421.098389
19,975.000000,288.215820,290.308234,1421.098389
0,25.000000,185.289789,531.597479,1484.236206
1,75.000000,196.912190,412.746757,1484.236206
2,125.000000,198.984756,360.450405,1484.236206
3,175.000000,197.033149,324.200844,1484.236206
4,225.000000,197.037993,301.745418,1484.236206
5,275.000000,204.119817,295.172456,1484.236206
6,325.000000,213.967934,294.992239,1484.236206
7,375.000000,222.610013,294.611739,1484.236206
8,425.000000,230.423219,294.239403,1484.236206
9,475.000000,237.538146,293.837092,1484.236206
10,525.000000,244.102386,293.444862,1484.236206
11,575.000000,250.178128,293.032418,1484.236206
12,625.000000,255.842222,292.612055,1484.236206
13,675.000000,261.155805,292.193153,1484.236206
14,725.000000,266.183581,291.799598,1484.236206
15,775.000000,270.966617,291.436454,1484.236206
16,825.000000,275.537907,291.106334,1484.236206
17,875.000000,279.890667,290.775322,1484.236206
18,925.000000,284.058562,290.456884,1484.236206
19,975.000000,288.027373,290.118419,1484.236206
0,25.000000,184.751834,530.054083,1547.182739
1,75.000000,196.324442,411.514782,1547.182739
2,125.000000,198.389018,359.371257,1547.182739
3,175.000000,196.505019,323.331853,1547.182739
4,225.000000,196.677465,301.193303,1547.182739
5,275.000000,203.999801,294.998904,1547.182739
6,325.000000,213.838333,294.813561,1547.182739
7,375.000000,222.474776,294.432760,1547.182739
8,425.000000,230.282999,294.060349,1547.182739
9,475.000000,237.393426,293.658071,1547.182739
10,525.000000,243.953446,293.265815,1547.182739
11,575.000000,250.025243,292.853344,1547.182739
12,625.000000,255.685640,292.432968,1547.182739
13,675.000000,260.995872,292.014212,1547.182739
14,725.000000,266.020653,291.620991,1547.182739
15,775.000000,270.801126,291.258462,1547.182739
16,825.000000,275.370268,290.929224,1547.182739
17,875.000000,279.721400,290.599472,1547.182739
18,925.000000,283.887954,290.282434,1547.182739
19,975.000000,287.855718,289.945518,1547.182739
0,25.000000,184.240477,528.586997,1609.953735
1,75.000000,195.762980,410.337903,1609.953735
2,125.000000,197.819311,358.339263,1609.953735
3,175.000000,196.003997,322.507464,1609.953735
4,225.000000,196.338968,300.674926,1609.953735
5,275.000000,203.888097,294.837372,1609.953735
6,325.000000,213.717001,294.646284,1609.953735
7,375.000000,222.347654,294.264522,1609.953735
8,425.000000,230.150961,293.891742,1609.953735
9,475.000000,237.257237,293.489605,1609.953735
10,525.000000,243.813715,293.097839,1609.953735
11,575.000000,249.882633,292.686306,1609.953735
12,625.000000,255.540698,292.267195,1609.953735
13,675.000000,260.848986,291.849869,1609.953735
14,725.000000,265.871963,291.457992,1609.953735
15,775.000000,270.650605,291.096569,1609.953735
16,825.000000,275.217765,290.768104,1609.953735
17,875.000000,279.566888,290.438951,1609.953735
18,925.000000,283.731307,290.122259,1609.953735
19,975.000000,287.697026,289.785674,1609.953735
0,25.000000,183.753924,527.191073,1672.565308
1,75.000000,195.226446,409.213276,1672.565308
2,125.000000,197.274516,357.352395,1672.565308
3,175.000000,195.528382,321.724882,1672.565308
4,225.000000,196.020845,300.187751,1672.565308
5,275.000000,203.783528,294.686157,1672.565308
6,325.000000,213.603998,294.490489,1672.565308
7,375.000000,222.229968,294.108771,1672.565308
8,425.000000,230.029450,293.736579,1672.565308
9,475.000000,237.132491,293.335292,1672.565308
10,525.000000,243.686021,292.944334,1672.565308
11,575.000000,249.752243,292.533581,1672.565308
12,625.000000,255.407751,292.115141,1672.565308
13,675.000000,260.713554,291.698342,1672.565308
14,725.000000,265.734033,291.306789,1672.565308
15,775.000000,270.510165,290.945520,1672.565308
16,825.000000,275.074819,290.617081,1672.565308
17,875.000000,279.421651,290.288066,1672.565308
18,925.000000,283.583964,289.971596,1672.565308
19,975.000000,287.547982,289.635547,1672.565308
0,25.000000,183.294514,525.873025,1734.843628
1,75.000000,194.717464,408.146403,1734.843628
2,125.000000,196.759400,356.419289,1734.843628
3,175.000000,195.076015,320.980551,1734.843628
4,225.000000,195.718582,299.724862,1734.843628
5,275.000000,203.684837,294.543443,1734.843628
6,325.000000,213.497201,294.343252,1734.843628
7,375.000000,222.117835,293.960369,1734.843628
8,425.000000,229.913346,293.588319,1734.843628
9,475.000000,237.012338,293.186662,1734.843628
10,525.000000,243.562598,292.795961,1734.843628
11,575.000000,249.626580,292.386392,1734.843628
12,625.000000,255.279014,291.967902,1734.843628
13,675.000000,260.583563,291.552902,1734.843628
14,725.000000,265.602665,291.162778,1734.843628
15,775.000000,270.376920,290.802210,1734.843628
16,825.000000,274.939553,290.474172,1734.843628
17,875.000000,279.284706,290.145795,1734.843628
18,925.000000,283.444894,289.829393,1734.843628
19,975.000000,287.406883,289.493424,1734.843628
0,25.000000,182.856387,524.616036,1796.983154
1,75.000000,194.230570,407.125826,1796.983154
2,125.000000,196.265955,355.525439,1796.983154
3,175.000000,194.646035,320.273057,1796.983154
4,225.000000,195.433854,299.288829,1796.983154
5,275.000000,203.592403,294.409776,1796.983154
6,325.000000,213.397256,294.205459,1796.983154
7,375.000000,222.013610,293.822433,1796.983154
8,425.000000,229.805727,293.450895,1796.983154
9,475.000000,236.901887,293.050033,1796.983154
10,525.000000,243.449461,292.659956,1796.983154
11,575.000000,249.510942,292.250947,1796.983154
12,625.000000,255.161055,291.832990,1796.983154
13,675.000000,260.463321,291.418369,1796.983154
14,725.000000,265.480267,291.028602,1796.983154
15,775.000000,270.252688,290.668592,1796.983154
16,825.000000,274.813353,290.340841,1796.983154
17,875.000000,279.156527,290.012632,1796.983154
18,925.000000,283.314859,289.696430,1796.983154
19,975.000000,287.275239,289.360825,1796.983154
0,25.000000,182.438277,523.416475,1858.993896
1,75.000000,193.764650,406.149212,1858.993896
2,125.000000,195.793328,354.669302,1858.993896
3,175.000000,194.237094,319.600180,1858.993896
4,225.000000,195.165382,298.877688,1858.993896
5,275.000000,203.507349,294.286782,1858.993896
6,325.000000,213.305200,294.078544,1858.993896
7,375.000000,221.917436,293.695152,1858.993896
8,425.000000,229.706011,293.323563,1858.993896
9,475.000000,236.799095,292.922879,1858.993896
10,525.000000,243.343912,292.533071,1858.993896
11,575.000000,249.402905,292.124404,1858.993896
12,625.000000,255.050720,291.706798,1858.993896
13,675.000000,260.350879,291.292564,1858.993896
14,725.000000,265.365877,290.903203,1858.993896
15,775.000000,270.136527,290.543656,1858.993896
16,825.000000,274.695579,290.216414,1858.993896
17,875.000000,279.037394,289.888865,1858.993896
18,925.000000,283.194508,289.573368,1858.993896
19,975.000000,287.153845,289.238549,1858.993896
0,25.000000,182.039024,522.271014,1920.885742
1,75.000000,193.318663,405.214381,1920.885742
2,125.000000,195.340668,353.849332,1920.885742
3,175.000000,193.847962,318.959897,1920.885742
4,225.000000,194.912016,298.489681,1920.885742
5,275.000000,203.427980,294.172008,1920.885742
6,325.000000,213.219148,293.959906,1920.885742
7,375.000000,221.827465,293.576080,1920.885742
8,425.000000,229.612723,293.204438,1920.885742
9,475.000000,236.702970,292.803970,1920.885742
10,525.000000,243.245292,292.414516,1920.885742
11,575.000000,249.302161,292.006402,1920.885742
12,625.000000,254.948160,291.589497,1920.885742
13,675.000000,260.246718,291.176025,1920.885742
14,725.000000,265.260199,290.787356,1920.885742
15,775.000000,270.029334,290.428365,1920.885742
16,825.000000,274.586827,290.101516,1920.885742
17,875.000000,278.927151,289.774336,1920.885742
18,925.000000,283.082797,289.459141,1920.885742
19,975.000000,287.040829,289.124713,1920.885742
0,25.000000,181.657568,521.176616,1982.668091
1,75.000000,192.891644,404.319308,1982.668091
2,125.000000,194.907139,353.064017,1982.668091
3,175.000000,193.477510,318.350351,1982.668091
4,225.000000,194.672748,298.123265,1982.668091
