layer, player, Tlayer, theta, time
16, 825.000000, 266.886741, 281.966361, 256.319397 
17, 875.000000, 271.075228, 281.617060, 256.319397 
18, 925.000000, 275.088665, 281.284944, 256.319397 
19, 975.000000, 278.950670, 280.975820, 256.319397 
0, 25.000000, 174.265888, 499.969845, 286.249054 
1, 75.000000, 184.344953, 386.404627, 286.249054 
2, 125.000000, 188.493218, 341.445537, 286.249054 
3, 175.000000, 190.794381, 313.935496, 286.249054 
4, 225.000000, 193.054075, 295.644417, 286.249054 
5, 275.000000, 198.098360, 286.464982, 286.249054 
6, 325.000000, 207.595465, 286.206675, 286.249054 
7, 375.000000, 215.915537, 285.751980, 286.249054 
8, 425.000000, 223.429723, 285.309045, 286.249054 
9, 475.000000, 230.325813, 284.915363, 286.249054 
10, 525.000000, 236.706666, 284.554182, 286.249054 
11, 575.000000, 242.662691, 284.229624, 286.249054 
12, 625.000000, 248.297926, 283.983487, 286.249054 
13, 675.000000, 253.526117, 283.656707, 286.249054 
14, 725.000000, 258.444188, 283.315410, 286.249054 
15, 775.000000, 263.095148, 282.970345, 286.249054 
16, 825.000000, 267.506441, 282.621075, 286.249054 
17, 875.000000, 271.702451, 282.268675, 286.249054 
18, 925.000000, 275.702303, 281.912404, 286.249054 
19, 975.000000, 279.528609, 281.557954, 286.249054 
0, 25.000000, 173.861612, 498.809973, 316.490173 
1, 75.000000, 184.218625, 386.139832, 316.490173 
2, 125.000000, 188.309656, 341.113023, 316.490173 
3, 175.000000, 190.418512, 313.317037, 316.490173 
4, 225.000000, 192.621422, 294.981849, 316.490173 
5, 275.000000, 198.517455, 287.071024, 316.490173 
6, 325.000000, 208.037794, 286.816503, 316.490173 
7, 375.000000, 216.371722, 286.355714, 316.490173 
8, 425.000000, 223.882365, 285.887046, 316.490173 
9, 475.000000, 230.756703, 285.448378, 316.490173 
10, 525.000000, 237.100558, 285.027695, 316.490173 
11, 575.000000, 242.995910, 284.619921, 316.490173 
12, 625.000000, 248.501274, 284.216060, 316.490173 
13, 675.000000, 253.677564, 283.826152, 316.490173 
14, 725.000000, 258.583867, 283.468531, 316.490173 
15, 775.000000, 263.261386, 283.149141, 316.490173 
16, 825.000000, 267.749860, 282.878248, 316.490173 
17, 875.000000, 272.068195, 282.648642, 316.490173 
18, 925.000000, 276.173289, 282.393999, 316.490173 
19, 975.000000, 280.078491, 282.111829, 316.490173 
0, 25.000000, 173.479368, 497.713312, 347.039032 
1, 75.000000, 184.086676, 385.863256, 347.039032 
2, 125.000000, 188.124297, 340.777255, 347.039032 
3, 175.000000, 190.061109, 312.728961, 347.039032 
4, 225.000000, 192.256864, 294.423562, 347.039032 
5, 275.000000, 198.655261, 287.270301, 347.039032 
6, 325.000000, 208.224988, 287.074583, 347.039032 
7, 375.000000, 216.641483, 286.712727, 347.039032 
8, 425.000000, 224.234472, 286.336670, 347.039032 
9, 475.000000, 231.174882, 285.965670, 347.039032 
10, 525.000000, 237.563983, 285.584795, 347.039032 
11, 575.000000, 243.483402, 285.190918, 347.039032 
12, 625.000000, 248.994164, 284.779788, 347.039032 
13, 675.000000, 254.157536, 284.363167, 347.039032 
14, 725.000000, 259.032855, 283.960726, 347.039032 
15, 775.000000, 263.661315, 283.579282, 347.039032 
16, 825.000000, 268.075586, 283.222378, 347.039032 
17, 875.000000, 272.301061, 282.890564, 347.039032 
18, 925.000000, 276.353878, 282.578655, 347.039032 
19, 975.000000, 280.250780, 282.285368, 347.039032 
0, 25.000000, 173.119331, 496.680364, 377.638977 
1, 75.000000, 183.949798, 385.576346, 377.638977 
2, 125.000000, 187.938128, 340.440019, 377.638977 
3, 175.000000, 189.723476, 312.173416, 377.638977 
4, 225.000000, 191.941619, 293.940793, 377.638977 
5, 275.000000, 198.935191, 287.675101, 377.638977 
6, 325.000000, 208.454268, 287.390686, 377.638977 
7, 375.000000, 216.816760, 286.944697, 377.638977 
